,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ticker,PPA,ACHR,JOBY,TXT,JETS,AAL,DAL,BA,LUV,UAL,JTAI,SIG,ZC=F,DOLE,FDP,XBI,AMGN,GILD,REGN,FBGRX,HMC,GM,TM,AZO,ORLY,MAR,HLT,IHG,TJX,AMZN,NKE,XLY,BTC-USD,^TYX,VTC,JNK,LQD,^FVX,^IRX,XOP,URA,CL=F,XLF,JPM,FSPCX,GC=F,CVS,UNH,ABT,TMO,MDT,BSX,JNJ,PFE,MRK,LLY,CAT,ITB,FCYIX,FSCHX,HG=F,LBR=F,XLB,XME,SI=F,VMGRX,PLD,AMT,EQIX,SPG,PSA,CCI,DLR,O,VICI,AVB,SPY,VSMAX,CSCO,NVDA,AVGO,INTC,QCOM,MSFT,ORCL,ADBE,CRM,FSPTX,AAPL,AEP,CNP,NEE,SO,CEG,GEV,BEPC,XEL,EXC,XLE,^VIX
,Major Industry,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Aerospace,Agriculture,Agriculture,Agriculture,Biotech,Biotech,Biotech,Biotech,Blue Chip (Broad Market),Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Consumer Discrestionary ,Cryptocurrency,Debt Market,Debt Market,Debt Market,Debt Market,Debt Market,Debt Market,Energy,Energy,Energy,Financial,Financial,Financial,Gold,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Industrials,Industrials,Industrials,Materials,Materials,Materials,Materials,Materials,Materials,Mid Cap (Broad Market),Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,S&P 500,Small Cap (Broad Market),Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Utilites,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Volatility Index
,Industry,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Airline,Airline,Airline,Airline,Airline,Airline,Airline,Corn,Crop Production,Crop Production,Biotech,Biotech,Biotech,Biotech,,Automotive,Automotive,Automotive,Automotive,Automotive,Hospitality,Hospitality,Hospitality,Retail,Retail,Retail,Consumer Discrestionary ,Bitcoin,30 yr US Bond,Corporate Bonds,High Yield Corporate Bonds,Investment Grade Corporate Bonds,Long Dated US Bond ,Short Dated US Bond,Energy,Energy,Crude Oil,Financial,Financial,Insurance,Gold,Healthcare Services,Managed Healthcare,Medical Devices,Medical Devices,Medical Devices,Medical Devices,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals,Construction,Construction,Industrials,Chemicals,Copper,Lumber,Materials,Metals & Mining,Silver,Mid Cap,REIT,REIT,REIT,REIT,REIT,REIT,REIT,REIT,REIT,REIT,S&P 500,Small Cap,Communications,Semiconductors,Semiconductors,Semiconductors,Semiconductors,Software,Software,Software,Software,Technology,Technology,Utilites,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Volatility Index
